id,average,rank,latitude,longitude,elevation,state,name,total19,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
GQW00041415,25866.2,12,13.4836,144.7961,77.4,GU,"GUAM INTL AP",23366,13.4836,144.7961,0.29,nearest_place,,,Toto,GU,Guam,96927,US,"TIGER/Line® dataset from the US Census Bureau"
USS0023D01S,24518.8,13,45.54,-123.37,947.9,OR,"Saddle Mountain",18374,45.54,-123.37,0.08,nearest_place,,,"Gales Creek",OR,"Washington County",97117,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021B01S,23590.4,14,47.75,-121.09,1204,WA,"Stevens Pass",16650,47.748785,-121.090675,0.98,rooftop,93156,"NE Stevens Pass Hwy",Skykomish,WA,"Chelan County",98288,US,King
USS0016A08S,22589.1,15,48.31,-116.07,1645.9,ID,"Bear Mountain",15475,48.31,-116.07,0.05,nearest_place,,,Hope,ID,"Bonner County",83836,US,"TIGER/Line® dataset from the US Census Bureau"
USW00014755,22180.1,16,44.2667,-71.2994,1910.2,NH,"MT WASHINGTON",22147,44.2667,-71.2994,0.07,nearest_place,,,"Bretton Woods",NH,"Coos County",03575,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022E07S,22089.1,17,44.39,-122.17,1072.9,OR,"Jump Off Joe",16685,44.394462,-122.17174,1,nearest_street,6178,"Us Hwy 20",Foster,OR,"Linn County",97345,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021B63S,21064.3,18,47.04,-121.94,1271,WA,"Burnt Mountain",16570,47.04,-121.94,0.12,nearest_place,,,Carbonado,WA,"Pierce County",98323,US,"TIGER/Line® dataset from the US Census Bureau"
USC00455840,20536,19,48.6758,-121.2419,160,WA,NEWHALEM,14460,48.672407,-121.250684,0.93,nearest_street,501,"Newhalem St",Rockport,WA,"Whatcom County",98283,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022E08S,20229.3,20,44.52,-122.09,1124.7,OR,"Daly Lake",16217,44.52,-122.09,0.04,nearest_place,,,"New Idanha",OR,"Linn County",97350,US,"TIGER/Line® dataset from the US Census Bureau"
USC00084461,19822.1,21,26.86,-80.0553,1.5,FL,"JUNO BEACH",22728,26.859982,-80.055213,1,rooftop,1499,"Seminole Blvd","North Palm Beach",FL,"Palm Beach County",33408,US,"Palm Beach County"
USS0022F04S,19456.8,22,43.61,-122.12,1286.3,OR,"Salt Creek Falls",16218,43.61,-122.12,0.05,nearest_place,,,"Crescent Lake Junction",OR,"Lane County",97425,US,"TIGER/Line® dataset from the US Census Bureau"
USC00352973,19230.4,23,44.0039,-124.0947,22.9,OR,"FLORENCE #2",16471,44.00393,-124.094588,1,rooftop,241,"Munsel Creek Lp",Florence,OR,"Lane County",97439,US,Lane
USS0013A19S,19164.9,24,48.8,-113.86,1920.2,MT,"Flattop Mtn.",16445,48.8,-113.86,0.04,nearest_place,,,"Lake McDonald",MT,"Flathead County",59921,US,"TIGER/Line® dataset from the US Census Bureau"
USC00353705,19078.4,25,45.3128,-123.35,230.4,OR,"HASKINS DAM",12930,45.312572,-123.350211,1,rooftop,23100,"NW Haskins Creek Rd",Yamhill,OR,"Yamhill County",97148,US,Yamhill
USS0013A25S,18844.4,26,48.16,-113.95,1841,MT,"Noisy Basin",14583,48.16,-113.95,0.06,nearest_place,,,Bigfork,MT,"Flathead County",59911,US,"TIGER/Line® dataset from the US Census Bureau"
USW00094224,18615.2,27,46.1569,-123.8825,2.7,OR,"ASTORIA RGNL AP",13092,46.153039,-123.883578,0.95,nearest_street,2348,"Astoria Airport Rd",Warrenton,OR,"Clatsop County",97146,US,"TIGER/Line® dataset from the US Census Bureau"
USW00025501,18605.4,28,57.7511,-152.4856,24.4,AK,"KODIAK AP",18739,57.763275,-152.490692,0.91,nearest_street,819,"Lake Louise Ct",Kodiak,AK,"Kodiak Island Borough",99615,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021D01S,18493.8,29,45.62,-121.7,1008.9,OR,Greenpoint,12862,45.62,-121.7,0.12,nearest_place,,,Dee,OR,"Hood River County",97031,US,"TIGER/Line® dataset from the US Census Bureau"
USC00451679,18492.4,30,48.5397,-121.7422,59.4,WA,"CONCRETE PPL FISH STN",13315,48.539163,-121.742328,0.99,rooftop,46110,"E Main St",Concrete,WA,"Skagit County",98237,US,Skagit
USC00355221,18407,31,44.6125,-121.9486,754.4,OR,"MARION FORKS FISH HATCHERY",13944,44.61222,-121.948191,0.99,rooftop,34881,"Hwy 22",Idanha,OR,"Linn County",97350,US,Linn
USC00097827,18283.2,32,34.6647,-83.7342,484.9,GA,"SAUTEE 3W",20572,34.66504,-83.733831,0.98,nearest_street,566,"Whippoorwill Ln","Sautee Nacoochee",GA,"White County",30571,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022F14S,18235.1,33,43.45,-122.14,1709.9,OR,"Summit Lake",16802,43.45,-122.14,0.05,nearest_place,,,"Crescent Lake",OR,"Klamath County",97425,US,"TIGER/Line® dataset from the US Census Bureau"
USS0017D20S,18220.8,34,45.98,-117.95,1700.8,OR,"Milk Shakes",15808,45.98,-117.95,0.03,nearest_place,,,Dixie,WA,,99329,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013899,18061.5,35,30.4781,-87.1869,34.1,FL,"PENSACOLA RGNL AP",13356,30.479125,-87.18323,0.95,nearest_street,5000,"Yesteroaks Pl",Pensacola,FL,"Escambia County",32504,US,"TIGER/Line® dataset from the US Census Bureau"
USC00160558,17997.5,36,30.4494,-91.0478,16.8,LA,"BATON ROUGE SHERWOOD",19285,30.449499,-91.047669,1,rooftop,12236,"Fairhaven Ave","Baton Rouge",LA,"East Baton Rouge Parish",70815,US,"East Baton Rouge Parish"
USC00406162,17961.6,37,35.2242,-85.8414,563.9,TN,MONTEAGLE,20801,35.223767,-85.841409,0.99,rooftop,1021,"Laurel Lake Dr",Monteagle,TN,"Marion County",37356,US,Statewide
USW00094225,17763.4,38,46.9728,-123.9303,3.7,WA,"HOQUIAM BOWERMAN AP",11484,46.982844,-123.930623,0.92,nearest_street,183,"State Rte 109",Hoquiam,WA,"Grays Harbor County",98550,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021E06S,17735.9,39,44.42,-121.86,1460,OR,"Hogg Pass",13730,44.42,-121.86,0.05,nearest_place,,,"Camp Sherman",OR,"Linn County",97730,US,"TIGER/Line® dataset from the US Census Bureau"
USW00012839,17524.2,40,25.7906,-80.3164,8.8,FL,"MIAMI INTL AP",17070,25.790536,-80.316057,1,rooftop,7300,"NW 19th St",Miami,FL,"Miami-Dade County",33126,US,"Miami-Dade County"
USS0021C42S,17210.7,41,46.1,-121.96,652.3,WA,"Pepper Creek",13287,46.1,-121.96,0.03,nearest_place,,,Cougar,WA,"Skamania County",98616,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013894,17208.2,42,30.6794,-88.2397,63.4,AL,MOBILE,16443,30.677939,-88.239325,0.97,nearest_street,8100,"Co Rd 56",Mobile,AL,"Mobile County",36608,US,"TIGER/Line® dataset from the US Census Bureau"
US1FLOK0029,17049.8,43,30.4109,-86.6475,4.9,FL,"MARY ESTHER 0.6 E",13876,30.410919,-86.647412,1,rooftop,164,"Marcia Dr","Mary Esther",FL,"Okaloosa County",32569,US,Statewide2
USS0013B24S,16907.1,44,47.68,-113.96,2066.5,MT,"Moss Peak",14083,47.68,-113.96,0.06,nearest_place,,,"Salmon Prairie",MT,"Lake County",59911,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021C38S,16899.1,45,46.81,-121.33,1405.1,WA,"Bumping Ridge",12251,46.81,-121.33,0.09,nearest_place,,,"Goose Prairie",WA,"Yakima County",98929,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013970,16880.6,46,30.5372,-91.1469,19.5,LA,"BATON ROUGE RYAN AP",16285,30.539694,-91.144543,0.95,nearest_street,4805,"Hollier Rd","Baton Rouge",LA,"East Baton Rouge Parish",70807,US,"TIGER/Line® dataset from the US Census Bureau"
RQW00011641,16836.8,47,18.4325,-66.0108,2.7,PR,"SAN JUAN L M MARIN AP",11937,18.431458,-66.010706,0.99,rooftop,71,Acuario,Carolina,PR,"Carolina Municipio",00979,US,Statewide
USW00025309,16807,48,58.3567,-134.5639,4.9,AK,"JUNEAU INTL AP",15362,58.356829,-134.564392,1,rooftop,1680,"Yandukin Dr",Juneau,AK,"Juneau City and Borough",99801,US,"City of Juneau"
USS0022F03S,16723.3,49,43.59,-122.06,1554.5,OR,"Cascade Summit",13700,43.59,-122.06,0.07,nearest_place,,,"Crescent Lake Junction",OR,"Klamath County",97425,US,"TIGER/Line® dataset from the US Census Bureau"
USC00164700,16625.7,50,30.2003,-92.6642,7.6,LA,JENNINGS,17515,30.200063,-92.664199,0.99,nearest_street,631,"W Racca Rd",Jennings,LA,"Jefferson Davis Parish",70546,US,"TIGER/Line® dataset from the US Census Bureau"
US1FLMD0022,16617.3,51,25.665,-80.4395,2.7,FL,"HAMMOCKS 0.5 SSE",16002,25.665048,-80.439532,1,rooftop,15106,"SW 109th St",Miami,FL,"Miami-Dade County",33196,US,"Miami-Dade County"
USS0014C12S,16586.9,52,46.14,-114.51,1950.7,MT,"Twin Lakes",12020,46.14,-114.51,0.03,nearest_place,,,Hamilton,MT,"Ravalli County",59840,US,"TIGER/Line® dataset from the US Census Bureau"
USC00400284,16467.3,53,35.4322,-84.5833,286.5,TN,ATHENS,19226,35.431503,-84.583344,0.99,rooftop,107,"New Englewood Rd",Athens,TN,"McMinn County",37303,US,Statewide
US1KYCS0001,16465.4,54,37.5245,-84.9965,287.1,KY,"BRADFORDSVILLE 8.5 ENE",17673,37.5245,-84.9965,0.11,nearest_place,,,"Peytons Store",KY,"Casey County",40437,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022G06S,16443.2,55,42.87,-122.17,1831.8,OR,"Annie Springs",15433,42.87,-122.17,0.08,nearest_place,,,"Crater Lake",OR,"Klamath County",97604,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021B04S,16351.4,56,47.54,-121.09,1045.5,WA,"Fish Lake",12564,47.54,-121.09,0.04,nearest_place,,,Skykomish,WA,"Kittitas County",98288,US,"TIGER/Line® dataset from the US Census Bureau"
USW00093874,16318.2,57,30.4119,-89.0808,12.8,MS,"GULFPORT - BILOXI AP",12503,30.411241,-89.082447,0.97,nearest_street,5198,"Virginia Ave",Gulfport,MS,"Harrison County",39501,US,"TIGER/Line® dataset from the US Census Bureau"
USW00012916,16172.6,58,29.9933,-90.2511,1.2,LA,"NEW ORLEANS INTL AP",15889,29.992596,-90.246611,0.95,nearest_street,1620,"20th St",Kenner,LA,"Jefferson Parish",70062,US,"TIGER/Line® dataset from the US Census Bureau"
USS0015C06S,16156.7,59,46.48,-115.63,1770.9,ID,"Hemlock Butte",13167,46.48,-115.63,0.06,nearest_place,,,"Judge Town",ID,"Clearwater County",83546,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021F21S,16139.5,60,43.8,-121.95,1688.6,OR,"Irish Taylor",13347,43.8,-121.95,0.03,nearest_place,,,"Crescent Lake Junction",OR,"Deschutes County",97425,US,"TIGER/Line® dataset from the US Census Bureau"
USC00462211,16049.7,61,39.0981,-79.4322,1132.3,WV,"DAVIS 3SE",16210,39.098061,-79.432938,0.99,rooftop,129,"Katydid Ln",Davis,WV,"Tucker County",26260,US,Statewide
USS0021C40S,16017.4,62,46.93,-121.95,963.2,WA,Mowich,13296,46.93,-121.95,0.05,nearest_place,,,Carbonado,WA,"Pierce County",98323,US,"TIGER/Line® dataset from the US Census Bureau"
US1FLHB0004,15923.1,63,27.9125,-82.2261,32.9,FL,"VALRICO 2.2 SE",17290,27.912584,-82.226172,1,rooftop,4317,"Cross Ridge Ct",Valrico,FL,"Hillsborough County",33594,US,"Hillsborough County"
USS0015C10S,15901.7,64,46.98,-115.03,1844,MT,"Hoodoo Basin",11847,46.98,-115.03,0.04,nearest_place,,,Tarkio,MT,"Mineral County",59872,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013748,15834.2,65,34.2675,-77.8997,10.1,NC,"WILMINGTON INTL AP",12471,34.266771,-77.899186,0.99,rooftop,2215,"Control Tower Dr",Wilmington,NC,"New Hanover County",28405,US,"New Hanover"
USC00226527,15812.8,66,34.9536,-89.8297,117.3,MS,"OLIVE BRANCH",21633,34.953167,-89.830407,0.98,nearest_street,6412,"Hwy 305 N","Olive Branch",MS,"DeSoto County",38654,US,"TIGER/Line® dataset from the US Census Bureau"
USS0023G09S,15729.9,67,42.72,-123.2,1322.8,OR,"King Mountain",15122,42.72,-123.2,0.09,nearest_place,,,"Quines Creek",OR,"Jackson County",97442,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013833,15653.3,68,31.2819,-89.2531,46,MS,"HATTIESBURG CHAIN MUNI AP",16924,31.282383,-89.253387,0.99,rooftop,1875,"James St",Hattiesburg,MS,"Forrest County",39401,US,"City of Hattiesburg"
USW00003937,15647.3,69,30.125,-93.2158,4,LA,"LAKE CHARLES",16773,30.12485,-93.213425,0.96,nearest_street,7700,"Gulf Hwy","Lake Charles",LA,"Calcasieu Parish",70607,US,"TIGER/Line® dataset from the US Census Bureau"
USC00177238,15570.3,70,45.0853,-67.1206,35.1,ME,ROBBINSTON,17787,45.08791,-67.115562,1,nearest_street,494,"Us Rte 1",Robbinston,ME,"Washington County",04671,US,"TIGER/Line® dataset from the US Census Bureau"
USW00003940,15523.3,71,32.3206,-90.0778,100.6,MS,"JACKSON INTL AP",16298,32.318916,-90.079791,0.96,nearest_street,246,"Weather Svc Rd",Flowood,MS,"Rankin County",39232,US,"TIGER/Line® dataset from the US Census Bureau"
USS0020K30S,15504.5,72,39.19,-120.26,2447.2,CA,"Squaw Valley G.C.",17672,39.19,-120.26,0.14,nearest_place,,,"Olympic Valley",CA,"Placer County",96146,US,"TIGER/Line® dataset from the US Census Bureau"
USC00449272,15499.6,73,36.7736,-80.2622,385,VA,"WOOLWINE 1 SE",14368,36.774314,-80.262831,0.99,rooftop,138,"Elamsville Rd",Woolwine,VA,"Patrick County",24185,US,"Virginia Geographic Information Network (VGIN)"
USS0020L06S,15479.4,74,38.85,-120.08,2337.8,CA,"Echo Peak",18073,38.85,-120.08,0.26,nearest_place,,,"Echo Lake",CA,"El Dorado County",95721,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022G33S,15371.9,75,42.7,-122.14,1737.4,OR,"Sevenmile Marsh",13879,42.7,-122.14,0.08,nearest_place,,,"Fort Klamath",OR,"Klamath County",97626,US,"TIGER/Line® dataset from the US Census Bureau"
US1TNHT0001,15347.4,76,36.3087,-87.7842,210,TN,"TENNESSEE RIDGE 1.4 SW",15639,36.30871,-87.784158,1,rooftop,2807,"S Main St","Tennessee Ridge",TN,"Houston County",37178,US,Statewide
US1MSLD0008,15344,77,32.5498,-88.8206,118,MS,"COLLINSVILLE 4.0 NNE",17175,32.550315,-88.820927,0.99,rooftop,10572,"Byrd Doerner Rd",Collinsville,MS,"Lauderdale County",39325,US,Lauderdale
USS0006J29S,15327.8,78,40.54,-106.68,3200.4,CO,Tower,17491,40.54,-106.68,0.06,nearest_place,,,"Steamboat Springs",CO,"Routt County",80477,US,"TIGER/Line® dataset from the US Census Bureau"
USC00405956,15313.5,79,35.1297,-89.8036,94.5,TN,"MEMPHIS WFO",19485,35.129396,-89.803718,1,rooftop,7777,"Walnut Grove Rd",Memphis,TN,"Shelby County",38120,US,"City of Memphis"
USC00220656,15274.6,80,34.4772,-88.1994,186.5,MS,"BELMONT 2 SSE",19507,34.477912,-88.199171,0.98,nearest_street,24,"State Hwy 366",Golden,MS,"Tishomingo County",38847,US,"TIGER/Line® dataset from the US Census Bureau"
US1FLBV0001,15133.8,81,27.9512,-80.642,11.9,FL,"PALM BAY 2.6 SSE",17226,27.95113,-80.641894,1,rooftop,1051,"Starfire St SE","Palm Bay",FL,"Brevard County",32909,US,Statewide2
USW00003847,15126.3,82,35.9508,-85.0814,569.1,TN,"CROSSVILLE MEM AP",17265,35.949714,-85.07893,0.96,nearest_street,372,"Stable Rd",Crossville,TN,"Cumberland County",38555,US,"TIGER/Line® dataset from the US Census Bureau"
USC00030130,15057.6,83,34.7961,-92.8417,212.8,AR,"ALUM FK",18778,34.797066,-92.842281,0.99,rooftop,24512,"Lake Winona Rd",Paron,AR,"Saline County",72122,US,"Arkansas Geographic Information Office"
USC00407184,14882.6,84,35.5983,-85.1939,263.3,TN,PIKEVILLE,17821,35.598373,-85.193884,1,rooftop,11,"College St",Pikeville,TN,"Bledsoe County",37367,US,Statewide
USC00408868,14875.5,85,36.465,-83.5603,416.1,TN,TAZEWELL,18203,36.464076,-83.560746,0.99,rooftop,316,"Cedar Fork Rd",Tazewell,TN,"Claiborne County",37879,US,Statewide
USC00408160,14827.3,86,35.1647,-88.5994,143.3,TN,SELMER,18246,35.165084,-88.598197,0.97,nearest_street,598,"S 4th St",Selmer,TN,"McNairy County",38375,US,"TIGER/Line® dataset from the US Census Bureau"
US1MSWN0002,14817.4,87,32.9751,-89.117,145.1,MS,"NOXAPATER 3.3 WSW",19214,32.975301,-89.11836,0.97,nearest_street,1250,"Luke Rd",Noxapater,MS,"Winston County",39346,US,"TIGER/Line® dataset from the US Census Bureau"
USC00303851,14797.4,88,43.5753,-75.5208,537.4,NY,HIGHMARKET,16614,43.575127,-75.520933,1,rooftop,3108,"Byrons Corners Rd",Constableville,NY,"Lewis County",13325,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
USW00093805,14641.7,89,30.3975,-84.3289,19.2,FL,TALLAHASSEE,9925,30.397614,-84.328932,0.99,rooftop,3488,"Capital Cir SW",Tallahassee,FL,"Leon County",32310,US,Leon
USW00013865,14628.3,90,32.3347,-88.7442,89.6,MS,"MERIDIAN KEY FLD",15404,32.330604,-88.744219,0.95,nearest_street,6464,"Spector St",Meridian,MS,"Lauderdale County",39307,US,"TIGER/Line® dataset from the US Census Bureau"
USS0019K07S,14628.1,91,39.32,-119.89,2682.5,NV,"Mt Rose Ski Area",20487,39.328887,-119.891595,0.92,nearest_street,22298,"Mount Rose Hwy",Reno,NV,"Washoe County",89511,US,"TIGER/Line® dataset from the US Census Bureau"
USW00093862,14556,92,34.2622,-88.7714,110,MS,"TUPELO RGNL AP",19557,34.262495,-88.772739,0.97,nearest_street,533,"N Coley Rd",Tupelo,MS,"Lee County",38801,US,"TIGER/Line® dataset from the US Census Bureau"
US1TNMY0008,14550.3,93,35.6072,-87.0592,220.1,TN,"COLUMBIA 1.2 SSW",16438,35.607241,-87.058942,1,rooftop,1202,"Rolling Fields Dr",Columbia,TN,"Maury County",38401,US,Statewide
USS0019L38S,14548.3,94,38.28,-119.61,2931.3,CA,"Leavitt Lake",18277,38.28,-119.61,0.04,nearest_place,,,Dardanelle,CA,"Mono County",95314,US,"TIGER/Line® dataset from the US Census Bureau"
USC00157215,14547.6,95,36.7461,-86.2258,226.5,KY,SCOTTSVILLE,17652,36.746316,-86.225324,0.98,nearest_street,81,"Lone Oak Dr",Scottsville,KY,"Allen County",42164,US,"TIGER/Line® dataset from the US Census Bureau"
US1TNRD0001,14525.9,96,35.9247,-86.4367,167.9,TN,"MURFREESBORO 5.5 NNW",17523,35.924706,-86.435655,1,nearest_street,,"I 840",Murfreesboro,TN,"Rutherford County",37129,US,"TIGER/Line® dataset from the US Census Bureau"
USS0011E35S,14520.3,97,44.51,-111.13,2490.2,MT,"Black Bear",16061,44.51,-111.13,0.05,nearest_place,,,"Macks Inn",ID,,83433,US,"TIGER/Line® dataset from the US Census Bureau"
US1INDB0001,14457.2,98,38.2929,-86.9611,153.3,IN,"HUNTINGBURG 0.4 SSW",17320,38.293022,-86.961158,1,rooftop,202,"N Chestnut St",Huntingburg,IN,"Dubois County",47542,US,Statewide
USC00365344,14397.4,99,40.8344,-76.1353,521.2,PA,"MAHANOY CITY 2 N",14398,40.83122,-76.132859,0.95,nearest_street,128,"Park Place Rd","Mahanoy City",PA,"Schuylkill County",17948,US,"TIGER/Line® dataset from the US Census Bureau"
USC00155097,14380.2,100,37.1317,-86.1481,231.6,KY,"MAMMOTH CAVE",16481,37.132097,-86.147114,0.98,nearest_street,159,"Alfred Cook Rd","Park City",KY,"Edmonson County",42160,US,"TIGER/Line® dataset from the US Census Bureau"
US1KYTD0002,14361.5,101,36.6534,-87.184,164.6,KY,"GUTHRIE 0.8 WNW",15548,36.654261,-87.182079,1,nearest_street,9536,"Us Hwy 79",Guthrie,KY,"Todd County",42234,US,"TIGER/Line® dataset from the US Census Bureau"
US1GACW0002,14351.5,102,33.4273,-84.6607,270.4,GA,"SHARPSBURG 6.0 N",13960,33.427413,-84.660695,1,rooftop,180,"Barrington Grange Dr",Sharpsburg,GA,"Coweta County",30277,US,Coweta
USW00013893,14322.6,103,35.0564,-89.9864,77.4,TN,"MEMPHIS INTL AP",18713,35.055208,-89.986181,0.97,nearest_street,3144,"Convair Rd",Memphis,TN,"Shelby County",38132,US,"TIGER/Line® dataset from the US Census Bureau"
USC00154958,14268.5,104,38.115,-85.6444,192.6,KY,"LOUISVILLE WFO",15030,38.114978,-85.645032,0.99,rooftop,6201,"Theiler Ln",Louisville,KY,"Jefferson County",40229,US,"Metro Louisville,  LOJIC partners"
USW00013882,14267.4,105,35.0311,-85.2014,204.5,TN,"CHATTANOOGA LOVELL AP",16055,35.030427,-85.201333,0.99,rooftop,101,"Cedar Ln",Chattanooga,TN,"Hamilton County",37421,US,Hamilton
USS0019L19S,14266.7,106,38.55,-119.8,2671.6,CA,"Ebbetts Pass",18737,38.55,-119.8,0.04,nearest_place,,,"Lake Alpine",CA,"Alpine County",95223,US,"TIGER/Line® dataset from the US Census Bureau"
USW00003811,14257.2,107,35.5931,-88.9167,132,TN,"JACKSON MCKELLAR AP",16810,35.593651,-88.925917,0.93,nearest_street,502,"State Hwy 223",Jackson,TN,"Madison County",38301,US,"TIGER/Line® dataset from the US Census Bureau"
USC00414325,14241.2,108,29.66,-95.6275,15.2,TX,HOUSTON-WESTBURY,14030,29.659793,-95.627385,1,rooftop,13802,"Florence Rd","Sugar Land",TX,"Fort Bend County",77498,US,"City of Sugar Land"
USS0009D06S,14184.4,109,45.06,-109.94,2773.7,MT,"Fisher Creek",15249,45.06,-109.94,0.17,nearest_place,,,"Cooke City",MT,"Park County",59020,US,"TIGER/Line® dataset from the US Census Bureau"
US1GACW0009,14170.3,110,33.384,-84.8338,266.4,GA,"NEWNAN 2.6 W",14447,33.383766,-84.833645,1,rooftop,18,"Thomas Way",Newnan,GA,"Coweta County",30263,US,Coweta
USW00013876,14155.5,111,33.5656,-86.745,187.5,AL,"BIRMINGHAM AP",13355,33.562647,-86.744058,0.95,nearest_street,6500,"43rd Ave N",Birmingham,AL,"Jefferson County",35206,US,"TIGER/Line® dataset from the US Census Bureau"
USC00178792,14155.1,112,45.4353,-67.7214,189,ME,"TOPSFIELD 2",15486,45.435273,-67.72137,1,nearest_street,109,"Upper Codyille Rd",Topsfield,ME,"Washington County",04490,US,"TIGER/Line® dataset from the US Census Bureau"
USW00013942,14147.6,113,32.5156,-92.0406,24.1,LA,"MONROE RGNL AP",15662,32.513619,-92.04406,0.95,nearest_street,5513,"Operations Rd",Monroe,LA,"Ouachita Parish",71203,US,"TIGER/Line® dataset from the US Census Bureau"
USW00003952,14115.2,114,34.8364,-92.2619,173.1,AR,"LITTLE ROCK",16810,34.836761,-92.261166,0.99,rooftop,8700,"Remount Rd","North Little Rock",AR,"Pulaski County",72118,US,Pulaski
USW00003889,14109.7,115,37.5908,-83.3131,415.7,KY,JACKSON,14629,37.584046,-83.302418,0.91,nearest_street,797,"Lick Branch Noctor Rd",Jackson,KY,"Breathitt County",41339,US,"TIGER/Line® dataset from the US Census Bureau"
USW00003856,14074.1,116,34.6439,-86.7861,190.2,AL,"HUNTSVILLE INTL AP",15659,34.644207,-86.78762,0.98,rooftop,1788,"County Line Rd SW",Madison,AL,"Limestone County",35756,US,"City of Huntsville"
USS0021D13S,14061.9,117,45.1,-121.75,1036.3,OR,"Clackamas Lake",10732,45.1,-121.75,0.04,nearest_place,,,"Government Camp",OR,"Clackamas County",97028,US,"TIGER/Line® dataset from the US Census Bureau"
US1GAFT0019,13931.6,118,33.7014,-84.5722,264.6,GA,"EAST POINT 6.3 WNW",14016,33.701334,-84.57287,0.99,rooftop,5655,"Campbellton Rd SW",Atlanta,GA,"Fulton County",30331,US,"Fulton County"
US1PABR0002,13901.8,119,40.3162,-75.9887,97.5,PA,"READING 3.5 SW",16916,40.316202,-75.988681,1,rooftop,517,"Dorchester Ave",Reading,PA,"Berks County",19609,US,Berks
USS0022G21S,13892.7,120,42.05,-122.85,1844,OR,"Big Red Mountain",14442,42.05,-122.85,0.04,nearest_place,,,Hilt,CA,,96044,US,"TIGER/Line® dataset from the US Census Bureau"
USC00301625,13856.5,121,42.6472,-78.7111,467.9,NY,"COLDEN 1W",13935,42.646914,-78.710755,0.99,rooftop,7544,"Wohlhueter Rd",Colden,NY,"Erie County",14033,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
USC00085359,13853.5,122,25.9492,-81.7139,3,FL,"MARCO IS",14500,25.949099,-81.7146,0.99,rooftop,263,"Shadowridge Ct","Marco Island",FL,"Collier County",34145,US,Loveland
